"Name","Agent","State","Created","Runtime","Sweep","activation","activations","batch_size","early_stopping","epoch","loss_fn","lr","model_architecture","optimizer","type","train_acc","train_f1","train_loss","train_precision","train_recall","val_acc","val_f1","val_loss","val_precision","val_recall"
"valiant-sweep-17","","finished","2024-10-13T13:24:34.000Z","229","cbud6h4k","Tanh","Linear","512","true","1000","CELoss","0.03684668829064045","arch5","mini-batch","single_label_classification","0.626953125","0.5558368003053454","0.8845068353698794","0.7031702667321226","0.45954873081928865","0.6875","0.4105970876008707","1.0387144993443078","0.40954545454545455","0.41165413533834594"
"elated-sweep-1","","finished","2024-10-13T12:45:06.000Z","501","cbud6h4k","Tanh","Linear","128","true","1000","CELoss","0.012727364195952247","arch5","mini-batch","single_label_classification","0.5959821428571429","0.41241640606816715","0.9163055915254288","0.6138417266722328","0.3105220548955215","0.6666666666666666","0.3793573885237957","0.9153840984279459","0.38141864027335926","0.3773182957393484"
"likely-sweep-15","","finished","2024-10-13T13:12:37.000Z","153","cbud6h4k","Tanh","Linear","256","true","1000","CELoss","0.01651627212514702","arch5","mini-batch","single_label_classification","0.6171875","0.44553839714702526","0.9187295304740167","0.6364404133310623","0.34273431594860165","0.6666666666666666","0.39336117358201234","0.9448296925924368","0.38682192831129003","0.40012531328320805"
"vital-sweep-14","","finished","2024-10-13T13:09:06.000Z","205","cbud6h4k","Tanh","Relu","256","true","2000","CELoss","0.029498747018504516","arch5","mini-batch","single_label_classification","0.9544270833333334","0.9248131173178679","0.18898327228770606","0.9619335805671211","0.8904511210411831","0.65625","0.4036267454072555","1.2804063393974212","0.39093701996927804","0.41716791979949874"
"polished-sweep-20","","finished","2024-10-13T13:35:29.000Z","149","cbud6h4k","Tanh","Linear","512","true","1000","CELoss","0.03680635054499327","arch5","mini-batch","single_label_classification","0.634765625","0.550294682671676","0.8859918494824632","0.7042887580954792","0.4515601891467557","0.6458333333333334","0.3874481918794625","1.037392076588824","0.37434343434343437","0.4015037593984962"
"likely-sweep-2","","finished","2024-10-13T12:53:33.000Z","38","cbud6h4k","Tanh","Sigmoid","256","true","3000","BCELoss","0.0040928366549811395","arch1","mini-batch","single_label_classification","0.5546875","0.2013270868718175","0.290489136665941","0.1829647393196554","0.22378628628628627","0.625","0.2702934278266299","0.27096969565491386","0.24747696358051777","0.2977443609022556"
"light-sweep-22","","finished","2024-10-13T13:38:29.000Z","148","cbud6h4k","Tanh","Relu","64","true","5000","CELoss","0.06517646991448568","arch5","mini-batch","single_label_classification","0.9877232142857143","0.9935068672271952","0.04578729754073035","0.9939577816059444","0.9930563617824744","0.625","0.39378202636189513","2.708139461460808","0.37521215382704803","0.4142857142857143"
"distinctive-sweep-19","","finished","2024-10-13T13:31:10.000Z","254","cbud6h4k","Tanh","Relu","256","true","2000","CELoss","0.014374794966823949","arch5","mini-batch","single_label_classification","0.7903645833333334","0.6096530061535012","0.5445329662365287","0.6842241863075196","0.5497389026115734","0.6145833333333334","0.402022508220236","1.2525907384066945","0.3818574168797954","0.42443609022556394"
"playful-sweep-10","","finished","2024-10-13T13:00:53.000Z","84","cbud6h4k","Tanh","Sigmoid","512","true","3000","BCELoss","0.019957858569180916","arch2","mini-batch","single_label_classification","0.5234375","0.19338093148817076","0.30599453068473625","0.17642195767195767","0.21394709721745106","0.5729166666666666","0.2559478351259043","0.45737821891404984","0.2386569872958258","0.27593984962406015"
"worldly-sweep-16","","finished","2024-10-13T13:15:15.000Z","558","cbud6h4k","Tanh","Sigmoid","512","true","2000","CELoss","0.028010956866095095","arch5","mini-batch","single_label_classification","0.546875","0.19856111976117313","1.1851814875091968","0.1795235409448607","0.22211534791404253","0.5625","0.23934932374830076","1.1025623343560598","0.2177777777777778","0.2656641604010025"
"exalted-sweep-18","","finished","2024-10-13T13:28:32.000Z","155","cbud6h4k","Tanh","Relu","512","true","1000","CELoss","0.02699106343275592","arch5","mini-batch","single_label_classification","0.783203125","0.640800204898187","0.5480840672709474","0.8565486857825567","0.5118698346101528","0.5625","0.35634738151915163","1.3829226074801397","0.35769230769230764","0.3550125313283208"
"driven-sweep-9","","finished","2024-10-13T13:00:31.000Z","16","cbud6h4k","Tanh","Sigmoid","512","true","4000","BCELoss","0.018876227372218137","arch1","mini-batch","single_label_classification","0.486328125","0.24724219580357837","0.30919589029652855","0.236915012027668","0.25851074280772823","0.5520833333333334","0.32679217310174713","0.29888953194258194","0.32333333333333336","0.33032581453634086"
"magic-sweep-11","","finished","2024-10-13T13:02:23.000Z","218","cbud6h4k","Tanh","Sigmoid","512","true","2000","BCELoss","0.012177331041481112","arch3","mini-batch","single_label_classification","0.47265625","0.19556540868350578","0.3156236166927039","0.17884199134199133","0.21573904990347162","0.5208333333333334","0.230055972119548","0.38152589675527926","0.2163515016685206","0.2456140350877193"
"revived-sweep-13","","finished","2024-10-13T13:08:34.000Z","27","cbud6h4k","Tanh","Sigmoid","512","true","4000","BCELoss","0.006757898193492012","arch1","mini-batch","single_label_classification","0.490234375","0.1790808438901444","0.32840393411683655","0.16240289069557362","0.19957631970685905","0.5","0.21376829792577395","0.31872781589511306","0.19496106275767294","0.23659147869674185"
"grateful-sweep-7","","finished","2024-10-13T12:59:48.000Z","29","cbud6h4k","Tanh","Sigmoid","512","true","4000","BCELoss","0.003083065264542537","arch1","mini-batch","single_label_classification","0.443359375","0.16179977401004045","0.33556984779352605","0.14747340044165305","0.17920913011947018","0.4479166666666667","0.1872644717733782","0.32364828183032085","0.16944444444444445","0.2092731829573935"
