"Name","State","Runtime","Sweep","activation","activations","batch_size","early_stopping","epoch","loss_fn","lr","model_architecture","optimizer","type","train_acc","train_loss","train_mae","train_mse","train_rmse","val_acc","val_loss","val_mae","val_mse","val_rmse"
"cerulean-sweep-35","finished","253","oty2r5m9","Tanh","Sigmoid","128","true","4000","MSELoss","0.04992996552537244","arch5","mini-batch","regression","0.8163333275233416","16.558683643109983","1.6749718575784929","16.558683643109983","4.069236248131826","0.892113847560545","9.546313573635128","1.5488449557937316","9.546313573635128","3.089710920723026"
"worthy-sweep-34","finished","11","oty2r5m9","Tanh","Tanh","128","true","5000","MSELoss","0.03222068744457708","arch4","mini-batch","regression","0.9802028383812774","1.7848362572017953","0.990370230993729","1.7848362572017953","1.3359776409812385","0.8984580894709758","8.98494289450224","1.4757581529929833","8.98494289450224","2.9974894319250303"
"glowing-sweep-33","finished","132","oty2r5m9","Tanh","Tanh","64","true","5000","MSELoss","0.05563583082068074","arch5","mini-batch","regression","0.9789971986621524","1.893532115995095","0.9631381361364076","1.893532115995095","1.3760567270265769","0.906754036868946","8.25087542188708","1.5348302329492192","8.25087542188708","2.872433710616675"
"noble-sweep-32","finished","16","oty2r5m9","Tanh","Tanh","64","true","5000","MSELoss","0.027560973043592077","arch4","mini-batch","regression","0.9846493025871216","1.383960076879283","0.9162649824127058","1.383960076879283","1.176418325630506","0.9059002388948084","8.32642379399373","1.4810308222103896","8.32642379399373","2.885554330452596"
"twilight-sweep-31","finished","11","oty2r5m9","Tanh","Tanh","64","true","5000","MSELoss","0.04432457428306667","arch4","mini-batch","regression","0.9748576543877944","2.26673757097199","1.0663917211995046","2.26673757097199","1.5055688529496052","0.8682489650863543","11.657999330752338","1.6017511386227472","11.657999330752338","3.4143812515230834"
"peach-sweep-30","finished","11","oty2r5m9","Tanh","Tanh","256","true","5000","MSELoss","0.030668799144274252","arch4","mini-batch","regression","0.9777451044422186","2.006416134634269","0.9988024822206242","2.006416134634269","1.416480192107983","0.9012515185630212","8.737766130335537","1.523383280995982","8.737766130335537","2.9559712668318574"
"scarlet-sweep-29","finished","566","oty2r5m9","Tanh","Sigmoid","128","true","5000","MSELoss","0.07382884166389571","arch5","mini-batch","regression","0.9148281011582052","7.678772142961749","1.435449973735075","7.678772142961749","2.771059750882638","0.9190796770631612","7.160240306728889","1.4515892516122249","7.160240306728889","2.6758625350957193"
"expert-sweep-28","finished","166","oty2r5m9","Tanh","Tanh","64","true","4000","MSELoss","0.04536663435007541","arch5","mini-batch","regression","0.9831186955985046","1.5219537398812872","0.9267965301659932","1.5219537398812872","1.2336748922958949","0.9016566241864842","8.701920331550651","1.500496010198165","8.701920331550651","2.94990174947415"
"sleek-sweep-25","finished","47","oty2r5m9","Tanh","Linear","128","true","1000","MSELoss","0.060027415038933024","arch3","mini-batch","regression","0.742407868045005","23.22351989329516","1.8591752157654804","23.22351989329516","4.819078739063635","0.8579084218160238","12.572983008900607","1.6429660346591308","12.572983008900607","3.54584024018294"
"deft-sweep-24","finished","56","oty2r5m9","Tanh","Tanh","128","true","1000","MSELoss","0.09115625434388648","arch3","mini-batch","regression","0.9694690502910688","2.7525534749269367","1.1211031087946517","2.7525534749269367","1.6590821181987758","0.8774588308890952","10.843063725616146","1.6013225171064285","10.843063725616146","3.292880763953676"
"distinctive-sweep-23","finished","6","oty2r5m9","Tanh","Tanh","32","true","3000","MSELoss","0.03868403712089087","arch1","mini-batch","regression","0.9184074696186162","7.356069993579681","1.365407809382709","7.356069993579681","2.712207586741782","0.7606917351461707","21.175208174554506","1.741300974368054","21.175208174554506","4.601652765534847"
