"Name","Runtime","Sweep","activation","activations","batch_size","early_stopping","epoch","loss_fn","lr","model_architecture","optimizer","type","train_acc","train_f1","train_loss","train_precision","train_recall","val_acc","val_f1","val_loss","val_precision","val_recall"
"fluent-sweep-48","11","jcu1wj7v","Tanh","Tanh","256","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.359375","0.15782678481160173","1.7345602725901765","0.16124213031928034","0.15455312233262544","0.34375","0.16341651634325835","1.759377742738204","0.16317460317460317","0.1636591478696742"
"copper-sweep-47","16","jcu1wj7v","Tanh","Tanh","256","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.5572916666666666","0.20462656031200183","1.1211541433761976","0.1871776273372018","0.22566316316316315","0.53125","0.2322448805095977","1.0905856200641362","0.21436170212765954","0.25338345864661654"
"clean-sweep-46","18","jcu1wj7v","Tanh","Tanh","256","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.640625","0.3089593350255569","0.8877223030289402","0.30761505321987737","0.31031541745827457","0.6458333333333334","0.39288472961251797","0.8936092722621348","0.3951948051948052","0.3906015037593985"
"sweepy-sweep-45","12","jcu1wj7v","Tanh","Tanh","256","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.8020833333333334","0.47716177540562593","0.588985483569994","0.5614183959034773","0.4148950969603144","0.5625","0.3188130113015148","1.1237505823923792","0.3113053613053613","0.3266917293233083"
"hearty-sweep-44","23","jcu1wj7v","Tanh","Tanh","128","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.46205357142857145","0.2066155177001793","1.5478859966620824","0.20541786267985332","0.2078272200820681","0.3854166666666667","0.18559447377771168","1.6208234439477265","0.1902040816326531","0.181203007518797"
"lunar-sweep-43","22","jcu1wj7v","Tanh","Tanh","128","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.5970982142857143","0.27994627014546486","0.9824315282086628","0.2809698211317402","0.2789301495226313","0.71875","0.4193776943104699","0.8929089279965461","0.4238095238095238","0.4150375939849624"
"cosmic-sweep-42","23","jcu1wj7v","Tanh","Tanh","128","true","1000","CELoss","0.01","arch1","mini-batch","single_label_classification","0.6729910714285714","0.40081966273710834","0.8137687977340828","0.501512557309756","0.3337998575917489","0.65625","0.3770421555993415","0.9315865550553347","0.3949934123847167","0.36065162907268167"
"treasured-sweep-41","15","jcu1wj7v","Tanh","Tanh","128","true","1000","CELoss","0.1","arch1","mini-batch","single_label_classification","0.8504464285714286","0.603734259621062","0.4135448406731737","0.7377229585992472","0.5109357209391373","0.5625","0.31900252668588225","1.823992200351891","0.3217612293144208","0.3162907268170426"
"dark-sweep-40","30","jcu1wj7v","Tanh","Tanh","64","true","1000","CELoss","0.0001","arch1","mini-batch","single_label_classification","0.48549107142857145","0.1951766674612956","1.3244443079406811","0.19051859612362496","0.20006822171430638","0.46875","0.25999210607355233","1.3144289910669182","0.28909090909090907","0.2362155388471178"
"youthful-sweep-39","31","jcu1wj7v","Tanh","Tanh","64","true","1000","CELoss","0.001","arch1","mini-batch","single_label_classification","0.6116071428571429","0.29610855381462275","0.9495416576652883","0.3015159565679996","0.29089168725635256","0.6979166666666666","0.43462584404877874","0.8493438451706276","0.470262246412667","0.40401002506265665"
